StateAb,DivisionID,DivisionNm,FromCandidateID,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateID,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercentage
NSW,250,Riverina,37322,ASP,"Shooters, Fishers and Farmers Party",KARAITIANA,Steve,4,36807,ALP,Labor,JEFFRESON,Mark,2,2442,38.89
NSW,250,Riverina,36700,IND,Independent,CIAVARELLA,Darren,6,36324,NP,The Nationals,McCORMACK,Michael,5,1272,47.09
NSW,250,Riverina,36700,IND,Independent,CIAVARELLA,Darren,6,36807,ALP,Labor,JEFFRESON,Mark,2,1429,52.91
NSW,250,Riverina,36653,LDP,Liberal Democrats,McCRAE,Dean,7,36324,NP,The Nationals,McCORMACK,Michael,5,4760,72.53
NSW,250,Riverina,36653,LDP,Liberal Democrats,McCRAE,Dean,7,36807,ALP,Labor,JEFFRESON,Mark,2,1803,27.47
NSW,250,Riverina,36313,GRN,The Greens,ORGAN,Michael,8,36324,NP,The Nationals,McCORMACK,Michael,5,1461,23.01
NSW,250,Riverina,36313,GRN,The Greens,ORGAN,Michael,8,36807,ALP,Labor,JEFFRESON,Mark,2,4888,76.99
NSW,146,Robertson,0,NA,NA,First Preferences,NA,0,36801,ALP,Labor,REID,Gordon,2,36231,48.52
NSW,146,Robertson,0,NA,NA,First Preferences,NA,0,37154,LP,Liberal,WICKS,Lucy,4,38448,51.48
NSW,146,Robertson,37157,AJP,Animal Justice Party,MURPHY,Patrick,1,36801,ALP,Labor,REID,Gordon,2,1367,70.14
NSW,146,Robertson,37157,AJP,Animal Justice Party,MURPHY,Patrick,1,37154,LP,Liberal,WICKS,Lucy,4,582,29.86
NSW,146,Robertson,36683,CEC,Citizens Party,BORTHWICK,Paul,3,36801,ALP,Labor,REID,Gordon,2,157,57.72
NSW,146,Robertson,36683,CEC,Citizens Party,BORTHWICK,Paul,3,37154,LP,Liberal,WICKS,Lucy,4,115,42.28
NSW,146,Robertson,36275,UAPP,United Australia Party,MURRAY,Barbara-Jane,5,36801,ALP,Labor,REID,Gordon,2,988,35.39
NSW,146,Robertson,36275,UAPP,United Australia Party,MURRAY,Barbara-Jane,5,37154,LP,Liberal,WICKS,Lucy,4,1804,64.61
NSW,146,Robertson,36848,LDP,Liberal Democrats,LOGAN,Bentley,6,36801,ALP,Labor,REID,Gordon,2,188,25.54
NSW,146,Robertson,36848,LDP,Liberal Democrats,LOGAN,Bentley,6,37154,LP,Liberal,WICKS,Lucy,4,548,74.46
NSW,146,Robertson,36745,IAP,Indigenous - Aboriginal Party of Australia,LAWSON,Jeffrey Wayne,7,36801,ALP,Labor,REID,Gordon,2,790,70.1
NSW,146,Robertson,36745,IAP,Indigenous - Aboriginal Party of Australia,LAWSON,Jeffrey Wayne,7,37154,LP,Liberal,WICKS,Lucy,4,337,29.9
NSW,146,Robertson,37529,ON,Pauline Hanson's One Nation,O'GRADY,Billy,8,36801,ALP,Labor,REID,Gordon,2,1544,41.97
NSW,146,Robertson,37529,ON,Pauline Hanson's One Nation,O'GRADY,Billy,8,37154,LP,Liberal,WICKS,Lucy,4,2135,58.03
NSW,146,Robertson,36847,IMO,Informed Medical Options Party,MASON,Kate,9,36801,ALP,Labor,REID,Gordon,2,522,46.86
NSW,146,Robertson,36847,IMO,Informed Medical Options Party,MASON,Kate,9,37154,LP,Liberal,WICKS,Lucy,4,592,53.14
NSW,146,Robertson,37760,CYA,Australian Federation Party,HAFNER,Alexandra,10,36801,ALP,Labor,REID,Gordon,2,106,48.18
NSW,146,Robertson,37760,CYA,Australian Federation Party,HAFNER,Alexandra,10,37154,LP,Liberal,WICKS,Lucy,4,114,51.82
NSW,146,Robertson,36340,GRN,The Greens,McGRATH,Shelly,11,36801,ALP,Labor,REID,Gordon,2,8384,86.95
NSW,146,Robertson,36340,GRN,The Greens,McGRATH,Shelly,11,37154,LP,Liberal,WICKS,Lucy,4,1258,13.05
NSW,148,Shortland,0,NA,NA,First Preferences,NA,0,36806,ALP,Labor,CONROY,Pat,5,40135,55.47
NSW,148,Shortland,0,NA,NA,First Preferences,NA,0,37156,LP,Liberal,McGILL,Nell,4,32215,44.53
NSW,148,Shortland,36395,AJP,Animal Justice Party,ROBERTS,Bree Suzanne,1,36806,ALP,Labor,CONROY,Pat,5,1621,54.41
NSW,148,Shortland,36395,AJP,Animal Justice Party,ROBERTS,Bree Suzanne,1,37156,LP,Liberal,McGILL,Nell,4,1358,45.59
NSW,148,Shortland,36866,IND,Independent,PAYNTER,Basil,2,36806,ALP,Labor,CONROY,Pat,5,1422,55.68
NSW,148,Shortland,36866,IND,Independent,PAYNTER,Basil,2,37156,LP,Liberal,McGILL,Nell,4,1132,44.32
NSW,148,Shortland,36641,LDP,Liberal Democrats,REED,Barry,3,36806,ALP,Labor,CONROY,Pat,5,582,19.5
NSW,148,Shortland,36641,LDP,Liberal Democrats,REED,Barry,3,37156,LP,Liberal,McGILL,Nell,4,2402,80.5
NSW,148,Shortland,36353,UAPP,United Australia Party,MAXWELL,Kenneth John,6,36806,ALP,Labor,CONROY,Pat,5,1286,41.15
NSW,148,Shortland,36353,UAPP,United Australia Party,MAXWELL,Kenneth John,6,37156,LP,Liberal,McGILL,Nell,4,1839,58.85
NSW,148,Shortland,36309,GRN,The Greens,GRIERSON,Kim,7,36806,ALP,Labor,CONROY,Pat,5,8542,86.2
NSW,148,Shortland,36309,GRN,The Greens,GRIERSON,Kim,7,37156,LP,Liberal,McGILL,Nell,4,1368,13.8
NSW,148,Shortland,37540,ON,Pauline Hanson's One Nation,KING,Quintin,8,36806,ALP,Labor,CONROY,Pat,5,2397,37.47
NSW,148,Shortland,37540,ON,Pauline Hanson's One Nation,KING,Quintin,8,37156,LP,Liberal,McGILL,Nell,4,4000,62.53
NSW,149,Sydney,0,NA,NA,First Preferences,NA,0,36308,GRN,The Greens,SAHAI,Chetan,4,23732,31.17
NSW,149,Sydney,0,NA,NA,First Preferences,NA,0,36805,ALP,Labor,PLIBERSEK,Tanya,2,52410,68.83
NSW,149,Sydney,37447,SAL,Socialist Alliance,CHUTER,Andrew,1,36308,GRN,The Greens,SAHAI,Chetan,4,911,60.01
NSW,149,Sydney,37447,SAL,Socialist Alliance,CHUTER,Andrew,1,36805,ALP,Labor,PLIBERSEK,Tanya,2,607,39.99
NSW,149,Sydney,37562,ON,Pauline Hanson's One Nation,FERGUSON,Ben,3,36308,GRN,The Greens,SAHAI,Chetan,4,656,34.73
NSW,149,Sydney,37562,ON,Pauline Hanson's One Nation,FERGUSON,Ben,3,36805,ALP,Labor,PLIBERSEK,Tanya,2,1233,65.27
NSW,149,Sydney,36692,CEC,Citizens Party,ZHOU,Wen,5,36308,GRN,The Greens,SAHAI,Chetan,4,505,50.4
NSW,149,Sydney,36692,CEC,Citizens Party,ZHOU,Wen,5,36805,ALP,Labor,PLIBERSEK,Tanya,2,497,49.6
NSW,149,Sydney,36688,UAPP,United Australia Party,McALISTER,Ryan,6,36308,GRN,The Greens,SAHAI,Chetan,4,1052,45.78
NSW,149,Sydney,36688,UAPP,United Australia Party,McALISTER,Ryan,6,36805,ALP,Labor,PLIBERSEK,Tanya,2,1246,54.22
NSW,149,Sydney,37153,LP,Liberal,ANDRUSKA,Alexander,7,36308,GRN,The Greens,SAHAI,Chetan,4,7499,36.98
NSW,149,Sydney,37153,LP,Liberal,ANDRUSKA,Alexander,7,36805,ALP,Labor,PLIBERSEK,Tanya,2,12777,63.02
NSW,151,Warringah,0,NA,NA,First Preferences,NA,0,32467,IND,Independent,STEGGALL,Zali,2,41832,57.33
NSW,151,Warringah,0,NA,NA,First Preferences,NA,0,37159,LP,Liberal,DEVES,Katherine,5,31129,42.67
NSW,151,Warringah,37516,ON,Pauline Hanson's One Nation,TRIPP,Steven,1,32467,IND,Independent,STEGGALL,Zali,2,829,41.87
NSW,151,Warringah,37516,ON,Pauline Hanson's One Nation,TRIPP,Steven,1,37159,LP,Liberal,DEVES,Katherine,5,1151,58.13
NSW,151,Warringah,36271,UAPP,United Australia Party,ROBERTSON,Andrew Colin,3,32467,IND,Independent,STEGGALL,Zali,2,834,37.87
NSW,151,Warringah,36271,UAPP,United Australia Party,ROBERTSON,Andrew Colin,3,37159,LP,Liberal,DEVES,Katherine,5,1368,62.13
NSW,151,Warringah,36675,GRN,The Greens,GLANVILLE,Kristyn,4,32467,IND,Independent,STEGGALL,Zali,2,6016,87.06
NSW,151,Warringah,36675,GRN,The Greens,GLANVILLE,Kristyn,4,37159,LP,Liberal,DEVES,Katherine,5,894,12.94
NSW,151,Warringah,36808,ALP,Labor,MICKLEBURGH,David,6,32467,IND,Independent,STEGGALL,Zali,2,6376,81.68
NSW,151,Warringah,36808,ALP,Labor,MICKLEBURGH,David,6,37159,LP,Liberal,DEVES,Katherine,5,1430,18.32
NSW,151,Warringah,36396,AJP,Animal Justice Party,PATERSON,Kate,7,32467,IND,Independent,STEGGALL,Zali,2,1005,68.14
NSW,151,Warringah,36396,AJP,Animal Justice Party,PATERSON,Kate,7,37159,LP,Liberal,DEVES,Katherine,5,470,31.86
NSW,251,Watson,0,NA,NA,First Preferences,NA,0,36809,ALP,Labor,BURKE,Tony,3,44464,66.14
NSW,251,Watson,0,NA,NA,First Preferences,NA,0,37056,LP,Liberal,AKTER,Sazeda,1,22759,33.86
NSW,251,Watson,36257,UAPP,United Australia Party,KOUKOULIS,John,2,36809,ALP,Labor,BURKE,Tony,3,2753,44.94
NSW,251,Watson,36257,UAPP,United Australia Party,KOUKOULIS,John,2,37056,LP,Liberal,AKTER,Sazeda,1,3373,55.06
NSW,251,Watson,37524,ON,Pauline Hanson's One Nation,JORGENSEN,Alan,4,36809,ALP,Labor,BURKE,Tony,3,1531,36.64
NSW,251,Watson,37524,ON,Pauline Hanson's One Nation,JORGENSEN,Alan,4,37056,LP,Liberal,AKTER,Sazeda,1,2647,63.36
NSW,251,Watson,36366,GRN,The Greens,SCHOTT,Bradley,5,36809,ALP,Labor,BURKE,Tony,3,7062,86.12
NSW,251,Watson,36366,GRN,The Greens,SCHOTT,Bradley,5,37056,LP,Liberal,AKTER,Sazeda,1,1138,13.88
NSW,152,Wentworth,0,NA,NA,First Preferences,NA,0,37051,LP,Liberal,SHARMA,Dave,7,35995,53.09
NSW,152,Wentworth,0,NA,NA,First Preferences,NA,0,37451,IND,Independent,SPENDER,Allegra,5,31810,46.91
NSW,152,Wentworth,37010,ALP,Labor,MURRAY,Tim,1,37051,LP,Liberal,SHARMA,Dave,7,1463,15.15
NSW,152,Wentworth,37010,ALP,Labor,MURRAY,Tim,1,37451,IND,Independent,SPENDER,Allegra,5,8191,84.85
NSW,152,Wentworth,37527,ON,Pauline Hanson's One Nation,FISHER,Dean,2,37051,LP,Liberal,SHARMA,Dave,7,405,45.25
NSW,152,Wentworth,37527,ON,Pauline Hanson's One Nation,FISHER,Dean,2,37451,IND,Independent,SPENDER,Allegra,5,490,54.75
NSW,152,Wentworth,36685,GRN,The Greens,KANAK,Dominic WY,3,37051,LP,Liberal,SHARMA,Dave,7,802,10.82
NSW,152,Wentworth,36685,GRN,The Greens,KANAK,Dominic WY,3,37451,IND,Independent,SPENDER,Allegra,5,6608,89.18
NSW,152,Wentworth,36266,UAPP,United Australia Party,DUMER,Natalie,4,37051,LP,Liberal,SHARMA,Dave,7,1006,55.49
NSW,152,Wentworth,36266,UAPP,United Australia Party,DUMER,Natalie,4,37451,IND,Independent,SPENDER,Allegra,5,807,44.51
NSW,152,Wentworth,36656,LDP,Liberal Democrats,LEWKOVITZ,Daniel,6,37051,LP,Liberal,SHARMA,Dave,7,1066,79.2
NSW,152,Wentworth,36656,LDP,Liberal Democrats,LEWKOVITZ,Daniel,6,37451,IND,Independent,SPENDER,Allegra,5,280,20.8
NSW,153,Werriwa,0,NA,NA,First Preferences,NA,0,36810,ALP,Labor,STANLEY,Anne Maree,3,40108,56.51
NSW,153,Werriwa,0,NA,NA,First Preferences,NA,0,37050,LP,Liberal,KAYAL,Sam,5,30864,43.49
NSW,153,Werriwa,36665,LDP,Liberal Democrats,TEY,Victor,1,36810,ALP,Labor,STANLEY,Anne Maree,3,4142,46.13
NSW,153,Werriwa,36665,LDP,Liberal Democrats,TEY,Victor,1,37050,LP,Liberal,KAYAL,Sam,5,4836,53.87
NSW,153,Werriwa,36250,UAPP,United Australia Party,NIKOLIC,Tony Mark,2,36810,ALP,Labor,STANLEY,Anne Maree,3,4385,49.76
NSW,153,Werriwa,36250,UAPP,United Australia Party,NIKOLIC,Tony Mark,2,37050,LP,Liberal,KAYAL,Sam,5,4428,50.24
NSW,153,Werriwa,36374,GRN,The Greens,SHUKLA,Apurva,4,36810,ALP,Labor,STANLEY,Anne Maree,3,5339,78.84
NSW,153,Werriwa,36374,GRN,The Greens,SHUKLA,Apurva,4,37050,LP,Liberal,KAYAL,Sam,5,1433,21.16
NSW,153,Werriwa,37522,ON,Pauline Hanson's One Nation,BOOKE,Adam Paul,6,36810,ALP,Labor,STANLEY,Anne Maree,3,2199,43.15
NSW,153,Werriwa,37522,ON,Pauline Hanson's One Nation,BOOKE,Adam Paul,6,37050,LP,Liberal,KAYAL,Sam,5,2897,56.85
NSW,150,Whitlam,0,NA,NA,First Preferences,NA,0,36811,ALP,Labor,JONES,Stephen,1,49218,61.47
NSW,150,Whitlam,0,NA,NA,First Preferences,NA,0,37055,LP,Liberal,CAINS,Mike,4,30849,38.53
NSW,150,Whitlam,36645,LDP,Liberal Democrats,WHEELER,Michael,2,36811,ALP,Labor,JONES,Stephen,1,1039,25.58
NSW,150,Whitlam,36645,LDP,Liberal Democrats,WHEELER,Michael,2,37055,LP,Liberal,CAINS,Mike,4,3023,74.42
NSW,150,Whitlam,37536,ON,Pauline Hanson's One Nation,HUGHES,Colin,3,36811,ALP,Labor,JONES,Stephen,1,3305,43.82
NSW,150,Whitlam,37536,ON,Pauline Hanson's One Nation,HUGHES,Colin,3,37055,LP,Liberal,CAINS,Mike,4,4238,56.18
NSW,150,Whitlam,36299,UAPP,United Australia Party,WODE,Allan,5,36811,ALP,Labor,JONES,Stephen,1,2511,42.66
NSW,150,Whitlam,36299,UAPP,United Australia Party,WODE,Allan,5,37055,LP,Liberal,CAINS,Mike,4,3375,57.34
NSW,150,Whitlam,36311,GRN,The Greens,DIXON,Jamie,6,36811,ALP,Labor,JONES,Stephen,1,9610,81.59
NSW,150,Whitlam,36311,GRN,The Greens,DIXON,Jamie,6,37055,LP,Liberal,CAINS,Mike,4,2169,18.41
NT,306,Lingiari,0,NA,NA,First Preferences,NA,0,36968,CLP,NT CLP,RYAN,Damien,1,15893,48.69
NT,306,Lingiari,0,NA,NA,First Preferences,NA,0,37286,ALP,A.L.P.,SCRYMGOUR,Marion,5,16747,51.31
NT,306,Lingiari,36457,GRN,The Greens,McFARLAND,Blair,2,36968,CLP,NT CLP,RYAN,Damien,1,1173,23.38
NT,306,Lingiari,36457,GRN,The Greens,McFARLAND,Blair,2,37286,ALP,A.L.P.,SCRYMGOUR,Marion,5,3845,76.62
NT,306,Lingiari,37585,CEC,Citizens Party,LEE,Thong Sum,3,36968,CLP,NT CLP,RYAN,Damien,1,315,63.38
NT,306,Lingiari,37585,CEC,Citizens Party,LEE,Thong Sum,3,37286,ALP,A.L.P.,SCRYMGOUR,Marion,5,182,36.62
NT,306,Lingiari,37142,UAPP,United Australia Party,MCLEOD,Allan,4,36968,CLP,NT CLP,RYAN,Damien,1,1282,68.12
NT,306,Lingiari,37142,UAPP,United Australia Party,MCLEOD,Allan,4,37286,ALP,A.L.P.,SCRYMGOUR,Marion,5,600,31.88
NT,306,Lingiari,36987,IND,Independent,GRAVENER,Michael Setford,6,36968,CLP,NT CLP,RYAN,Damien,1,443,46.73
NT,306,Lingiari,36987,IND,Independent,GRAVENER,Michael Setford,6,37286,ALP,A.L.P.,SCRYMGOUR,Marion,5,505,53.27
NT,306,Lingiari,37808,IND,Independent,ADAMSON AGARS,Imelda,7,36968,CLP,NT CLP,RYAN,Damien,1,200,48.9
NT,306,Lingiari,37808,IND,Independent,ADAMSON AGARS,Imelda,7,37286,ALP,A.L.P.,SCRYMGOUR,Marion,5,209,51.1
NT,306,Lingiari,37433,ON,Pauline Hanson's One Nation,GALLARD,Tim,8,36968,CLP,NT CLP,RYAN,Damien,1,1850,74.9
NT,306,Lingiari,37433,ON,Pauline Hanson's One Nation,GALLARD,Tim,8,37286,ALP,A.L.P.,SCRYMGOUR,Marion,5,620,25.1
NT,306,Lingiari,37429,LDP,Liberal Democrats,KASPAREK,George,9,36968,CLP,NT CLP,RYAN,Damien,1,1317,67.61
NT,306,Lingiari,37429,LDP,Liberal Democrats,KASPAREK,George,9,37286,ALP,A.L.P.,SCRYMGOUR,Marion,5,631,32.39
NT,307,Solomon,0,NA,NA,First Preferences,NA,0,36937,CLP,NT CLP,MACFARLANE,Tina,4,13771,38.74
NT,307,Solomon,0,NA,NA,First Preferences,NA,0,37280,ALP,A.L.P.,GOSLING,Luke,3,21775,61.26
NT,307,Solomon,37426,LDP,Liberal Democrats,BONANNI,Kylie,1,36937,CLP,NT CLP,MACFARLANE,Tina,4,3588,61.45
NT,307,Solomon,37426,LDP,Liberal Democrats,BONANNI,Kylie,1,37280,ALP,A.L.P.,GOSLING,Luke,3,2251,38.55
NT,307,Solomon,36459,GRN,The Greens,GOODRICH CARTTLING,Aiya,2,36937,CLP,NT CLP,MACFARLANE,Tina,4,1218,14.92
NT,307,Solomon,36459,GRN,The Greens,GOODRICH CARTTLING,Aiya,2,37280,ALP,A.L.P.,GOSLING,Luke,3,6946,85.08
NT,307,Solomon,37437,ON,Pauline Hanson's One Nation,LOHSE,Emily,5,36937,CLP,NT CLP,MACFARLANE,Tina,4,2094,71.03
NT,307,Solomon,37437,ON,Pauline Hanson's One Nation,LOHSE,Emily,5,37280,ALP,A.L.P.,GOSLING,Luke,3,854,28.97
NT,307,Solomon,37146,UAPP,United Australia Party,SELFE,Tayla Elise,6,36937,CLP,NT CLP,MACFARLANE,Tina,4,1728,65.75
NT,307,Solomon,37146,UAPP,United Australia Party,SELFE,Tayla Elise,6,37280,ALP,A.L.P.,GOSLING,Luke,3,900,34.25
QLD,304,Blair,0,NA,NA,First Preferences,NA,0,37216,ALP,Australian Labor Party,NEUMANN,Shayne,5,36494,54.78
QLD,304,Blair,0,NA,NA,First Preferences,NA,0,37469,LNP,Liberal National Party of Queensland,BIGGINS,Sam,8,30122,45.22
QLD,304,Blair,37332,GRN,Queensland Greens,MUTTON,Danielle,1,37216,ALP,Australian Labor Party,NEUMANN,Shayne,5,10749,81.97
QLD,304,Blair,37332,GRN,Queensland Greens,MUTTON,Danielle,1,37469,LNP,Liberal National Party of Queensland,BIGGINS,Sam,8,2364,18.03
QLD,304,Blair,37309,LDP,Liberal Democrats,JAQUES,Michelle,2,37216,ALP,Australian Labor Party,NEUMANN,Shayne,5,1106,35.91
QLD,304,Blair,37309,LDP,Liberal Democrats,JAQUES,Michelle,2,37469,LNP,Liberal National Party of Queensland,BIGGINS,Sam,8,1974,64.09
QLD,304,Blair,35963,UAPP,United Australia Party,CUNNINGHAM,Quinton Stewart,3,37216,ALP,Australian Labor Party,NEUMANN,Shayne,5,2858,44.99
QLD,304,Blair,35963,UAPP,United Australia Party,CUNNINGHAM,Quinton Stewart,3,37469,LNP,Liberal National Party of Queensland,BIGGINS,Sam,8,3495,55.01
QLD,304,Blair,38212,ON,Pauline Hanson's One Nation,SUDUK,Liz,4,37216,ALP,Australian Labor Party,NEUMANN,Shayne,5,3939,37.81
QLD,304,Blair,38212,ON,Pauline Hanson's One Nation,SUDUK,Liz,4,37469,LNP,Liberal National Party of Queensland,BIGGINS,Sam,8,6480,62.19
QLD,304,Blair,37377,AUVA,Australian Values Party,PITMAN,Maria,6,37216,ALP,Australian Labor Party,NEUMANN,Shayne,5,975,46.36
QLD,304,Blair,37377,AUVA,Australian Values Party,PITMAN,Maria,6,37469,LNP,Liberal National Party of Queensland,BIGGINS,Sam,8,1128,53.64
QLD,304,Blair,37192,AJP,Animal Justice Party,LOWERY,Angela,7,37216,ALP,Australian Labor Party,NEUMANN,Shayne,5,1454,56.73
QLD,304,Blair,37192,AJP,Animal Justice Party,LOWERY,Angela,7,37469,LNP,Liberal National Party of Queensland,BIGGINS,Sam,8,1109,43.27
QLD,310,Bonner,0,NA,NA,First Preferences,NA,0,37220,ALP,Australian Labor Party,YOUNG,Tabatha,4,28491,39.75
QLD,310,Bonner,0,NA,NA,First Preferences,NA,0,37472,LNP,Liberal National Party of Queensland,VASTA,Ross,1,43191,60.25
QLD,310,Bonner,38215,ON,Pauline Hanson's One Nation,NEIL,Amanda,2,37220,ALP,Australian Labor Party,YOUNG,Tabatha,4,1660,30.91
QLD,310,Bonner,38215,ON,Pauline Hanson's One Nation,NEIL,Amanda,2,37472,LNP,Liberal National Party of Queensland,VASTA,Ross,1,3711,69.09
QLD,310,Bonner,35965,UAPP,United Australia Party,DIKLICH,Serge,3,37220,ALP,Australian Labor Party,YOUNG,Tabatha,4,1170,36.83
QLD,310,Bonner,35965,UAPP,United Australia Party,DIKLICH,Serge,3,37472,LNP,Liberal National Party of Queensland,VASTA,Ross,1,2007,63.17
QLD,310,Bonner,37334,GRN,Queensland Greens,LAKEY,Bernard,5,37220,ALP,Australian Labor Party,YOUNG,Tabatha,4,13582,84.13
QLD,310,Bonner,37334,GRN,Queensland Greens,LAKEY,Bernard,5,37472,LNP,Liberal National Party of Queensland,VASTA,Ross,1,2562,15.87
QLD,155,Bowman,0,NA,NA,First Preferences,NA,0,37229,ALP,Australian Labor Party,DUFF,Donisha,6,29694,40.8
QLD,155,Bowman,0,NA,NA,First Preferences,NA,0,37477,LNP,Liberal National Party of Queensland,PIKE,Henry,4,43088,59.2
QLD,155,Bowman,38218,ON,Pauline Hanson's One Nation,TODD,Walter,1,37229,ALP,Australian Labor Party,DUFF,Donisha,6,2482,31.72
QLD,155,Bowman,38218,ON,Pauline Hanson's One Nation,TODD,Walter,1,37477,LNP,Liberal National Party of Queensland,PIKE,Henry,4,5343,68.28
QLD,155,Bowman,35971,UAPP,United Australia Party,STEVENS,Mary-Jane,2,37229,ALP,Australian Labor Party,DUFF,Donisha,6,2012,30.48
QLD,155,Bowman,35971,UAPP,United Australia Party,STEVENS,Mary-Jane,2,37477,LNP,Liberal National Party of Queensland,PIKE,Henry,4,4589,69.52
QLD,155,Bowman,37336,GRN,Queensland Greens,MAZLIN,Ian,3,37229,ALP,Australian Labor Party,DUFF,Donisha,6,10352,78.18
QLD,155,Bowman,37336,GRN,Queensland Greens,MAZLIN,Ian,3,37477,LNP,Liberal National Party of Queensland,PIKE,Henry,4,2889,21.82
QLD,155,Bowman,36036,TNL,TNL,JOHNSON,Phil,5,37229,ALP,Australian Labor Party,DUFF,Donisha,6,705,56.72
QLD,155,Bowman,36036,TNL,TNL,JOHNSON,Phil,5,37477,LNP,Liberal National Party of Queensland,PIKE,Henry,4,538,43.28
QLD,156,Brisbane,0,NA,NA,First Preferences,NA,0,37338,GRN,Queensland Greens,BATES,Stephen,3,29641,41.94
QLD,156,Brisbane,0,NA,NA,First Preferences,NA,0,37482,LNP,Liberal National Party of Queensland,EVANS,Trevor,5,41032,58.06
QLD,156,Brisbane,37204,AJP,Animal Justice Party,KENNEDY,Tiana,1,37338,GRN,Queensland Greens,BATES,Stephen,3,1708,80
QLD,156,Brisbane,37204,AJP,Animal Justice Party,KENNEDY,Tiana,1,37482,LNP,Liberal National Party of Queensland,EVANS,Trevor,5,427,20
QLD,156,Brisbane,35972,UAPP,United Australia Party,KNUDSON,Justin Marc,2,37338,GRN,Queensland Greens,BATES,Stephen,3,824,39.2
QLD,156,Brisbane,35972,UAPP,United Australia Party,KNUDSON,Justin Marc,2,37482,LNP,Liberal National Party of Queensland,EVANS,Trevor,5,1278,60.8
QLD,156,Brisbane,37230,ALP,Australian Labor Party,JARRETT,Madonna,4,37338,GRN,Queensland Greens,BATES,Stephen,3,25055,84.5
QLD,156,Brisbane,37230,ALP,Australian Labor Party,JARRETT,Madonna,4,37482,LNP,Liberal National Party of Queensland,EVANS,Trevor,5,4597,15.5
QLD,156,Brisbane,38213,ON,Pauline Hanson's One Nation,HOLD,Trevor,6,37338,GRN,Queensland Greens,BATES,Stephen,3,793,32.65
QLD,156,Brisbane,38213,ON,Pauline Hanson's One Nation,HOLD,Trevor,6,37482,LNP,Liberal National Party of Queensland,EVANS,Trevor,5,1636,67.35
QLD,156,Brisbane,37311,LDP,Liberal Democrats,BULL,Anthony,7,37338,GRN,Queensland Greens,BATES,Stephen,3,439,24.29
QLD,156,Brisbane,37311,LDP,Liberal Democrats,BULL,Anthony,7,37482,LNP,Liberal National Party of Queensland,EVANS,Trevor,5,1368,75.71
QLD,157,Capricornia,0,NA,NA,First Preferences,NA,0,37232,ALP,Australian Labor Party,ROBERTSON,Russell,4,25330,41.56
QLD,157,Capricornia,0,NA,NA,First Preferences,NA,0,37479,LNP,Liberal National Party of Queensland,LANDRY,Michelle,8,35613,58.44
QLD,157,Capricornia,38216,ON,Pauline Hanson's One Nation,STANTON,Kylee,1,37232,ALP,Australian Labor Party,ROBERTSON,Russell,4,4647,35.26
QLD,157,Capricornia,38216,ON,Pauline Hanson's One Nation,STANTON,Kylee,1,37479,LNP,Liberal National Party of Queensland,LANDRY,Michelle,8,8532,64.74
QLD,157,Capricornia,37151,IMO,Informed Medical Options Party,GANFIELD,Paula,2,37232,ALP,Australian Labor Party,ROBERTSON,Russell,4,584,51.87
QLD,157,Capricornia,37151,IMO,Informed Medical Options Party,GANFIELD,Paula,2,37479,LNP,Liberal National Party of Queensland,LANDRY,Michelle,8,542,48.13
QLD,157,Capricornia,37341,GRN,Queensland Greens,JONES,Mick,3,37232,ALP,Australian Labor Party,ROBERTSON,Russell,4,4286,80.84
QLD,157,Capricornia,37341,GRN,Queensland Greens,JONES,Mick,3,37479,LNP,Liberal National Party of Queensland,LANDRY,Michelle,8,1016,19.16
QLD,157,Capricornia,37312,LDP,Liberal Democrats,MURPHY,Steve,5,37232,ALP,Australian Labor Party,ROBERTSON,Russell,4,413,29.67
QLD,157,Capricornia,37312,LDP,Liberal Democrats,MURPHY,Steve,5,37479,LNP,Liberal National Party of Queensland,LANDRY,Michelle,8,979,70.33
QLD,157,Capricornia,28347,IND,Independent,MURRAY,Ken,6,37232,ALP,Australian Labor Party,ROBERTSON,Russell,4,1698,55.71
QLD,157,Capricornia,28347,IND,Independent,MURRAY,Ken,6,37479,LNP,Liberal National Party of Queensland,LANDRY,Michelle,8,1350,44.29
QLD,157,Capricornia,35973,UAPP,United Australia Party,HARDING,Nathan Luke,7,37232,ALP,Australian Labor Party,ROBERTSON,Russell,4,1329,37.38
QLD,157,Capricornia,35973,UAPP,United Australia Party,HARDING,Nathan Luke,7,37479,LNP,Liberal National Party of Queensland,LANDRY,Michelle,8,2226,62.62
QLD,157,Capricornia,37586,GAP,The Great Australian Party,WHITTY,Zteven,9,37232,ALP,Australian Labor Party,ROBERTSON,Russell,4,909,52.03
QLD,157,Capricornia,37586,GAP,The Great Australian Party,WHITTY,Zteven,9,37479,LNP,Liberal National Party of Queensland,LANDRY,Michelle,8,838,47.97
QLD,158,Dawson,0,NA,NA,First Preferences,NA,0,37234,ALP,Australian Labor Party,HAMILTON,Shane,3,22650,36.09
QLD,158,Dawson,0,NA,NA,First Preferences,NA,0,37485,LNP,Liberal National Party of Queensland,WILLCOX,Andrew,1,40109,63.91
QLD,158,Dawson,38220,ON,Pauline Hanson's One Nation,HALL,Julie,2,37234,ALP,Australian Labor Party,HAMILTON,Shane,3,4049,32.95
