StateAb,DivisionID,DivisionNm,FromCandidateID,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateID,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercentage
NSW,104,Barton,36276,UAPP,United Australia Party,HONOS,Dimitri,2,36820,ALP,Labor,BURNEY,Linda,1,2515,44.82
NSW,104,Barton,36276,UAPP,United Australia Party,HONOS,Dimitri,2,37017,LP,Liberal,GOODY,John,4,3096,55.18
NSW,104,Barton,36332,GRN,The Greens,VANDIJK,Taylor,3,36820,ALP,Labor,BURNEY,Linda,1,9972,87.16
NSW,104,Barton,36332,GRN,The Greens,VANDIJK,Taylor,3,37017,LP,Liberal,GOODY,John,4,1469,12.84
NSW,104,Barton,37503,ON,Pauline Hanson's One Nation,POLLARD,Phillip,5,36820,ALP,Labor,BURNEY,Linda,1,1361,31.12
NSW,104,Barton,37503,ON,Pauline Hanson's One Nation,POLLARD,Phillip,5,37017,LP,Liberal,GOODY,John,4,3012,68.88
NSW,105,Bennelong,0,NA,NA,First Preferences,NA,0,36827,ALP,Labor,LAXALE,Jerome,7,37596,47.71
NSW,105,Bennelong,0,NA,NA,First Preferences,NA,0,37019,LP,Liberal,KENNEDY,Simon,4,41206,52.29
NSW,105,Bennelong,36344,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",AUGUST,John,1,36827,ALP,Labor,LAXALE,Jerome,7,1268,59.67
NSW,105,Bennelong,36344,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",AUGUST,John,1,37019,LP,Liberal,KENNEDY,Simon,4,857,40.33
NSW,105,Bennelong,36300,GRN,The Greens,ADAMS,Tony,2,36827,ALP,Labor,LAXALE,Jerome,7,9501,83.38
NSW,105,Bennelong,36300,GRN,The Greens,ADAMS,Tony,2,37019,LP,Liberal,KENNEDY,Simon,4,1894,16.62
NSW,105,Bennelong,36650,LDP,Liberal Democrats,CAMERON,Dougal,3,36827,ALP,Labor,LAXALE,Jerome,7,299,19.43
NSW,105,Bennelong,36650,LDP,Liberal Democrats,CAMERON,Dougal,3,37019,LP,Liberal,KENNEDY,Simon,4,1240,80.57
NSW,105,Bennelong,36280,UAPP,United Australia Party,COLLYER,Rhys Ian,5,36827,ALP,Labor,LAXALE,Jerome,7,896,30.74
NSW,105,Bennelong,36280,UAPP,United Australia Party,COLLYER,Rhys Ian,5,37019,LP,Liberal,KENNEDY,Simon,4,2019,69.26
NSW,105,Bennelong,37519,ON,Pauline Hanson's One Nation,WATERSON,Victor,6,36827,ALP,Labor,LAXALE,Jerome,7,547,32.87
NSW,105,Bennelong,37519,ON,Pauline Hanson's One Nation,WATERSON,Victor,6,37019,LP,Liberal,KENNEDY,Simon,4,1117,67.13
NSW,105,Bennelong,37428,DPDA,Democratic Alliance,DHONGDUE,Kyinzom,8,36827,ALP,Labor,LAXALE,Jerome,7,694,57.45
NSW,105,Bennelong,37428,DPDA,Democratic Alliance,DHONGDUE,Kyinzom,8,37019,LP,Liberal,KENNEDY,Simon,4,514,42.55
NSW,106,Berowra,0,NA,NA,First Preferences,NA,0,36830,ALP,Labor,KOSCHINSKI,Benson,6,20746,31.18
NSW,106,Berowra,0,NA,NA,First Preferences,NA,0,37028,LP,Liberal,LEESER,Julian,4,45797,68.82
NSW,106,Berowra,36851,LDP,Liberal Democrats,SAMIOS,Nicholas,1,36830,ALP,Labor,KOSCHINSKI,Benson,6,315,13.65
NSW,106,Berowra,36851,LDP,Liberal Democrats,SAMIOS,Nicholas,1,37028,LP,Liberal,LEESER,Julian,4,1992,86.35
NSW,106,Berowra,36291,GRN,The Greens,SALITRA,Tania,2,36830,ALP,Labor,KOSCHINSKI,Benson,6,11934,82.1
NSW,106,Berowra,36291,GRN,The Greens,SALITRA,Tania,2,37028,LP,Liberal,LEESER,Julian,4,2602,17.9
NSW,106,Berowra,37792,ON,Pauline Hanson's One Nation,BOSMA,Rhiannon,3,36830,ALP,Labor,KOSCHINSKI,Benson,6,859,28.9
NSW,106,Berowra,37792,ON,Pauline Hanson's One Nation,BOSMA,Rhiannon,3,37028,LP,Liberal,LEESER,Julian,4,2113,71.1
NSW,106,Berowra,36295,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",CLARKE,Brendan Michael,5,36830,ALP,Labor,KOSCHINSKI,Benson,6,1012,71.37
NSW,106,Berowra,36295,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",CLARKE,Brendan Michael,5,37028,LP,Liberal,LEESER,Julian,4,406,28.63
NSW,106,Berowra,37789,CYA,Australian Federation Party,LOUIE,David James,7,36830,ALP,Labor,KOSCHINSKI,Benson,6,137,26.92
NSW,106,Berowra,37789,CYA,Australian Federation Party,LOUIE,David James,7,37028,LP,Liberal,LEESER,Julian,4,372,73.08
NSW,106,Berowra,27974,IND,Independent,WOODWARD,Roger,8,36830,ALP,Labor,KOSCHINSKI,Benson,6,494,54.65
NSW,106,Berowra,27974,IND,Independent,WOODWARD,Roger,8,37028,LP,Liberal,LEESER,Julian,4,410,45.35
NSW,106,Berowra,36339,UAPP,United Australia Party,MARTINIC,Christopher,9,36830,ALP,Labor,KOSCHINSKI,Benson,6,964,41.64
NSW,106,Berowra,36339,UAPP,United Australia Party,MARTINIC,Christopher,9,37028,LP,Liberal,LEESER,Julian,4,1351,58.36
NSW,106,Berowra,37815,IND,Independent,CASWELL,Benjamin,10,36830,ALP,Labor,KOSCHINSKI,Benson,6,1074,59.6
NSW,106,Berowra,37815,IND,Independent,CASWELL,Benjamin,10,37028,LP,Liberal,LEESER,Julian,4,728,40.4
NSW,107,Blaxland,0,NA,NA,First Preferences,NA,0,36823,ALP,Labor,CLARE,Jason,4,44905,67.06
NSW,107,Blaxland,0,NA,NA,First Preferences,NA,0,37038,LP,Liberal,GUNEY,Oz,2,22059,32.94
NSW,107,Blaxland,37547,ON,Pauline Hanson's One Nation,STEPANOFF,Adam,1,36823,ALP,Labor,CLARE,Jason,4,1220,27.6
NSW,107,Blaxland,37547,ON,Pauline Hanson's One Nation,STEPANOFF,Adam,1,37038,LP,Liberal,GUNEY,Oz,2,3201,72.4
NSW,107,Blaxland,36349,GRN,The Greens,EISLER,Linda,3,36823,ALP,Labor,CLARE,Jason,4,4115,79.33
NSW,107,Blaxland,36349,GRN,The Greens,EISLER,Linda,3,37038,LP,Liberal,GUNEY,Oz,2,1072,20.67
NSW,107,Blaxland,36254,UAPP,United Australia Party,SINOSIC,Elvis,5,36823,ALP,Labor,CLARE,Jason,4,2799,54.83
NSW,107,Blaxland,36254,UAPP,United Australia Party,SINOSIC,Elvis,5,37038,LP,Liberal,GUNEY,Oz,2,2306,45.17
NSW,108,Bradfield,0,NA,NA,First Preferences,NA,0,36047,IND,Independent,BOELE,Nicolette,1,20198,31.68
NSW,108,Bradfield,0,NA,NA,First Preferences,NA,0,37016,LP,Liberal,FLETCHER,Paul,6,43562,68.32
