DivisionNm,Year,StateAb,Metro_Area,Metro,cluster,Australian_Citizens,Age_Baby_Boomers,Age_Gen_X,Age_Gen_Y,Age_Gen_Z,Age_Silent_Gen,Language_Arabic,Language_Chinese,Language_East_Asian,Language_English_Only,Language_European,Language_Greek,Language_Indigenous,Language_Indonesian,Language_Italian,Language_Pacific,Language_Philippinnes,Language_South_Asian,Language_Western_Asian,Religion_Anglican_Uniting_Presbyterian,Religion_Buddhism,Religion_Catholic,Religion_Christian_Orthodox,Religion_Hinduism,Religion_Islam,Religion_No_Religion_Secular,Religion_Other_Christianity,Income_1_to_999,Income_1000_to_1999,Income_2000_or_more,Income_Negative,Income_Not_Stated,Household_Flat,Household_Other,Household_Owned_outright,Household_Owned_with_a_mortgage,Household_Rented,Household_Social_or_community,Household_Standalone,Household_Tenure_other_or_not_stated,Household_Semi_detached,Education_Bachelor,Education_Diploma_or_Certificate,Education_Graduate_Diploma_or_Certificate,Education_Not_Stated,Education_Postgraduate,Relationship_Child_under_15,Relationship_De_Facto,Relationship_Group_Household,Relationship_Living_Alone,Relationship_Married,Relationship_Non_dependent_Child,Relationship_Other_Relationship,Relationship_Single_Parent,Relationship_Unrelated_in_family_household
Bass,2021,TAS,Non Metropolitan,0,1,-0.4586576829048141,-0.988624217351262,-0.2510580937666873,1.931590404913873,0.05113607781742502,-0.08068046648159255,-0.0263218949855962,0.5386770864796403,-0.083395232423428,-0.1241241116685643,-0.4039164441611254,-0.0719534159876118,-0.18240766475960518,0.006972796399615122,-0.20893411103251175,-0.02408891716085413,-0.19636383501033683,2.240133904392184,0.07339682022780376,NA,0.2820113223351457,-7.7995798486295875,-0.30357547447469785,1.2229593812552664,0.5083217150244732,NA,0.311528753649049,4.024790943356614,-0.036121737583702185,-1.831360631220468,-0.03911879358976034,-2.18112400894893,1.2075526154716485,-0.6537661085120001,-1.3406848037252388,-0.5877366386302576,0.37403462469072224,1.7799481992235466,1.082328975143355,-0.33058970133609833,-1.6482847779753609,3.3697322962640257,-3.7955332742035424,-0.05282404434095511,-2.8677177439524133,3.2668042228417518,-1.1962271947554868,-0.0462301871027222,0.6361556951089877,1.4095927734775753,-1.4275881458880733,NA,-0.1886965843768993,0.33742068198696273,0.2810027998214617
McPherson,2021,QLD,Non Metropolitan,0,1,-3.4164019054692574,-3.6744102797120775,1.7725663659432165,2.344248350360317,0.4721389142500456,-0.49587874998949344,-0.01654562840350368,1.59263053159082,1.1101043603193688,-2.6830364745200797,2.121084245489624,0.02492695235354124,-0.17435048871071757,0.043114491979152667,0.016879122538637548,-0.00781682651957763,-0.11577034127482888,-0.5525477375798367,0.06594894021556812,NA,0.5751313047590605,0.287796675797658,0.2726597858894406,-0.04957422289661806,-0.21402440782308457,NA,0.660412003306555,-3.8456395734251743,2.786831032240986,2.218809655003538,0.4243670430629871,-1.4710498818336895,15.460210855369255,-0.8358270234948055,-5.773909001277836,4.315344543248671,4.9349868542212185,-1.7024607269014571,-29.084260370145813,-1.6519025676266095,14.73855211373582,6.225387376755229,-4.761740525207948,0.18415637504826377,-3.9975258492041164,2.189012870931818,-0.26131458293957266,0.5425147040050664,1.7014508748063917,-2.23289505226618,-1.1476239632584466,NA,0.14718893579767078,0.14304101894605292,0.43438174645374183
Gilmore,2021,NSW,Non Metropolitan,0,1,1.7903008223519379,6.0177696106000305,-1.5807483529399278,-3.170225933349668,-2.7969516823246856,1.1459401947530274,-0.08074087356148357,-0.28985059579510253,-0.22658374302776335,2.3305892168384474,-0.10706207199720907,0.11578658797716608,-0.12125596618357623,-0.015554791631619776,-0.04392184678339017,-0.02737116893956059,-0.2002834491873474,-0.6220229883473902,-0.04464855745219678,NA,-0.056487389100912666,-0.07029380749768777,0.11264057908176972,-0.230564704615269,-0.37367374437071,NA,-1.9160000170966995,4.255433974947543,-2.150671690306023,-1.105235392418816,-0.4520105846891562,-0.6159743098548365,-1.1528177135458368,0.909676542150202,8.768661720157468,-5.216006651046012,-3.1425267972278874,-0.39080764627934395,0.5622893036047287,0.07135854469775849,-0.34233596363492147,-0.6331743074209406,0.38249081626364045,0.4090666640458327,-1.0612962874607295,0.8184631397305155,-2.4590178874502904,-0.2695889685707513,-0.5690283713855573,0.5619426609273681,3.486729734699786,NA,-0.014638794104476105,-0.2218621047587357,-0.1371581939951898
O'Connor,2021,WA,Non Metropolitan,0,1,-5.26463367290917,-0.023809623186021867,1.2452528629304602,0.19958153554383173,-0.7607144771394019,-0.3815541598954417,-0.11215061279001873,-0.24632555951423257,0.051229274748039066,-4.196551668054127,0.11033291264779588,-0.09395041613830898,0.8226997212191853,0.03595496361691676,-0.04408421714772637,4.218853965286748e-4,0.5480611882697436,-0.6213027466081966,-0.031437906469059924,NA,-0.06248530517091788,-5.9138520645651305,-0.3416772652776119,-0.28712124763935937,-0.008517111579667613,NA,2.165482077673542,-6.344050625663158,-0.16333002992781687,2.95393473246644,0.25345461868810837,3.2899776337951128,-4.013167715532288,0.4265823248382583,-0.19697495651310248,-1.9297422309565526,-2.658166890247326,2.227470050135467,5.98855690770317,2.1315617208319932,-2.5529834223075403,-2.8948660486218785,-0.8247702153840493,-0.6921556104182129,6.311087114862538,-2.116086841467004,0.875828141902538,1.0402937313593004,-0.7094767819885148,1.1803363129697892,-0.33551749143968834,NA,-0.04904643740433956,-0.7649328934242501,-0.290530619474366
Macnamara,2021,VIC,Greater Melbourne,1,0,-5.2448623930054055,-0.3843773462684368,0.12192848000185208,8.922989004308,-4.882070379126741,-0.19545520455721954,-2.2533278198106093,-2.1436670677311236,-2.2607080833530033,7.899748613155715,2.4583071335934368,0.4676735628183617,-0.5680317937756347,0.013443339529268017,-0.1790372861096543,-0.18559328388100274,-0.6312197339811927,-3.1805171273971173,-0.17867187355409575,NA,-1.5951945387191202,-6.197577917813051,-0.005129931819323641,-1.2866623045228156,-3.3572064155971706,NA,-3.11524236470759,-9.237795902877743,3.103190993164194,7.985430627944066,-2.56670786445671,0.7843097615410715,37.71479614151416,0.35127663115759733,-5.364217902731944,-7.637939440850065,14.68526564994282,-1.1830307485902658,-42.084262836617036,-0.49916723676157604,4.002867074495393,6.206959424249163,-10.50970927403258,1.1350822969618921,-0.8077516393881989,4.246537810587736,-5.594115795943123,6.813077120906879,3.38101444228316,10.697047880650938,-7.704947377700215,NA,-1.0466971816084538,-1.0747347462014893,-0.6849710112908672
La Trobe,2021,VIC,Greater Melbourne,1,2,-0.7928683199026949,-4.854577360223267,-0.6962570227760949,3.5515427289496344,1.1023436513414957,-0.5940375901995716,-0.25972646752618866,-1.383169157625664,-1.1029327840335674,-2.952088089059089,-0.6589492557757908,-0.5022026394322172,-0.03655160658451579,-0.04645268765176816,-0.546586679659175,-0.06026232202582066,0.04495973701928102,7.382839351516516,-0.3096523383580446,NA,1.4747244642652877,-0.5155804024017812,-0.9119632446720785,2.0815706048528053,-0.07799963328278325,NA,-0.3972254785784113,-3.1730484809872337,3.2340089098619984,-0.9963015043380867,0.8630570669329742,-0.02310074169855625,-3.561168278434309,-0.13192618862828942,-7.396969021236455,10.442158835812613,-1.1238620616565775,-2.181944927104026,7.970967215732813,0.24824856324583022,-4.123638261186862,-1.724704336738288,2.276136590317833,-0.26046049907997126,-0.25511713750016085,0.03953774499540508,3.5828186981803967,0.24173614882269234,-0.7992283071396331,-2.4750822245316932,0.8298143556914823,NA,0.032954140488502315,-0.7482659023125873,-0.11069765064082027
Flinders,2021,VIC,Greater Melbourne,1,2,4.883285870659009,7.838727107525212,-0.6948958216869059,-6.750154132650197,-3.071153294387692,2.049792028888693,-0.999497444259411,-2.8499590618540425,-1.707863670079433,15.914323261681076,-1.295544752777313,0.062356438338791675,-0.0390423813105284,-0.16513141504497286,-0.009841469052530027,-0.2927807335755312,-0.7403010371368706,-5.004373773636962,-0.602283247838382,NA,-1.6377919173392792,-0.866254572913693,-0.4674241535770125,-2.5189382726128713,-3.3880194867829356,NA,-4.4635152520857115,3.3113009186348847,-2.617475861619681,0.05047542924337556,-2.2657036582365615,1.6427867404574847,-1.4779291795508387,0.37713516617353404,11.596987428946775,-7.803505186223298,-4.167607913044272,-1.2035481508566988,1.397116052792441,1.789759468355895,-0.4022189834496306,-3.1557205099646417,2.5916903188334075,0.44818988300069185,3.2097233284749187,-2.8891283657476734,-3.7182721234385383,1.4565829090425613,-0.6139858208221463,3.652713534073742,1.5175997034285373,NA,-0.7828304886920978,-0.11759041922541869,-0.4263911211770588
Bruce,2021,VIC,Greater Melbourne,1,2,-6.118162936099367,-0.7007455823094801,-0.1424677407726591,1.5012433513026124,0.5341518923898683,-0.38950668685394296,1.140401722944344,1.533479415966318,1.4756564922612785,-25.898316694323263,2.974845028877016,1.0807788604678177,-0.03856668909314366,0.18435376410693047,0.24026234532222623,0.18791782003597302,0.12735961770356563,6.494947577986471,0.8453161476030489,NA,3.0591486126096203,1.2968533802755466,2.8867791203825393,1.9988193993622918,10.264998153506996,NA,0.13333003938869403,1.4721369628794179,-1.5809650735922105,-4.151358556739102,2.968821640012088,1.0798725946921284,-0.12462286119575428,-0.17214462026055086,-0.44602299566074066,-2.0615781152822166,2.186346566595237,0.15283558599062186,-0.9692186574701793,-0.2800541652438775,1.2371233217096798,-0.2547863858258239,-2.4431661208681845,-0.7086264360641312,2.849616505710383,0.4179162406458605,-0.9863326560429435,-3.0931523851591667,0.7819634628916967,-1.79276531852934,1.6746379961929776,NA,0.507859872177967,-0.21048347600612605,0.09302173380409728
Makin,2021,SA,Greater Adelaide,1,2,2.371017350279388,0.8944009422458343,-0.45392156806459383,0.019982192026784418,-0.3533171241843327,0.42438132708468856,0.1517515698290517,-1.3565345995589044,1.1661215014719797,-0.4082870274421708,-0.3406138706693844,-0.07110668653996532,0.018539866205532614,-0.14453176759009786,0.05353043863496254,-0.2931926248533244,0.040027846111256205,1.4557326102669945,-0.10819111866286846,NA,0.08468503954558582,-3.4172553061671405,-0.2385040154261424,0.7768931448696863,1.263046716175694,NA,1.4640443735896493,5.28634467975553,0.5551612022393293,-4.03829013395921,-0.7576320620252144,-1.1128208641849069,-0.6657879856245765,-0.3012892938053687,1.7107763247237422,0.2606619530320913,-4.280743690610052,1.4282184482497073,3.3910942790923,0.6794359059803106,-2.3965529152962084,-1.9383684262354848,5.352873588642552,-0.7264156908493025,-1.5419401749125399,-0.863264890530778,-1.7832749494134568,-0.9199173216581364,0.024600338791029408,1.0347099439937644,0.9224211051812006,NA,-0.04894794643118461,0.2379664315253418,-0.040603368450153665
Boothby,2021,SA,Greater Adelaide,1,2,2.432381039832734,2.95046769392129,-0.7348708090755274,-0.8999972605106628,-1.747658448808302,0.7291302477485031,-0.29781633720821243,0.3918034724990336,-0.8982665247015345,5.803689861735265,-0.20548297850478914,0.8562077290222199,-0.009350539148964346,-0.06522470490867463,-0.2531446269700198,-0.2978168495831323,-0.39474255140152464,-0.8988239575964814,-0.24079501665405206,NA,-0.7814432405319809,-3.2349073558750394,0.7757113560106772,0.15060057859817144,-1.826894351491566,NA,-1.18006917968468,0.9184187210601493,0.9349078208597632,2.19227456232165,-2.25926290791429,-1.855124256125694,7.547896775508731,-0.05410028546452339,3.8325005085475468,-7.705143367281266,-0.17178602265463994,2.936355313565564,-17.82139281123588,0.9719890222969538,10.281499805198562,8.72013848352179,-10.898994810085583,1.3845199252425737,-3.223453147495797,4.068466251555289,-4.100930560107159,0.45615336203067613,1.7832942347366552,4.592056024402767,-0.17502406197883857,NA,-0.43675560386842927,-0.5652471050130066,0.05597246244417686
