election_year,DivisionNm,StateAb,ALP,COAL,GRN,Other,Year,Australian_Citizens,Age_Baby_Boomers,Age_Gen_X,Age_Gen_Y,Age_Gen_Z,Age_Silent_Gen,Language_English_Only,Language_Chinese,Language_South_Asian,Language_Arabic,Language_East_Asian,Religion_Anglican_Uniting_Presbyterian,Religion_Buddhism,Religion_Catholic,Religion_Christian_Orthodox,Religion_Hinduism,Religion_Other_Christianity,Religion_No_Religion_Secular,Religion_Islam,Income_1_to_999,Income_1000_to_1999,Income_2000_or_more,Income_Negative,Household_Flat,Household_Other,Household_Owned_outright,Household_Owned_with_a_mortgage,Household_Rented,Household_Semi_detached,Household_Social_or_community,Household_Standalone,Household_Tenure_other_or_not_stated,Education_Bachelor,Education_Diploma_or_Certificate,Education_Graduate_Diploma_or_Certificate,Education_Not_Stated,Education_Postgraduate,Relationship_Child_under_15,Relationship_De_Facto,Relationship_Group_Household,Relationship_Living_Alone,Relationship_Married,Relationship_Non_dependent_Child,Relationship_Other_Relationship,Relationship_Single_Parent,Relationship_Unrelated_in_family_household,Metro_Area,Metro
2007,Capricornia,QLD,12.401986529010415,-5.765113454144583,-4.660502220289592,-1.2423302922970296,2006,88.36400874980842,26.040231272995893,21.312488457659143,22.87727472902135,14.311792365718182,12.180898668901737,90.46411503253402,0.19436819885469062,0.13793872176784494,0.01114656337517939,0.1825249752685625,35.3617252476282,0.45346261545534333,25.447541828617602,0.004875942101670358,0.19503768406681435,8.688232262019197,16.21668686699823,0.1420988841058219,63.261587313042384,14.921428184819673,4.4499972937377095,6.211774045140455,5.815689884422625,2.7779482458831954,33.56448808427943,29.125498619208347,28.366574613889743,2.583614605707272,4.98312365756367,88.82274726398691,3.9603150250588115,11.39240506329114,6.706739268792872,1.3478537585743582,20.565730853546427,1.5741460999929284,23.395495658608393,8.182125904292585,2.6071965552258076,9.11023119976699,37.82954035565562,5.281304857792857,1.8215739217368716,4.301244558500547,1.0021018160635426,Non Metropolitan,No
2010,Casey,VIC,-2.3989570476363298,4.5198741971518714,-0.44919556966752694,NA,2011,90.2876030545952,25.01633912422294,22.077576641891994,21.06151110300488,19.66850576809083,8.569300685483258,89.18557570324904,0.9791930962708619,0.5598644778523082,0.21346257568045943,0.48086053525171113,22.8578376242439,1.0820997598711206,22.170126751572997,1.0144685248791756,0.3123195233897687,12.523936897778048,30.113377306301103,0.3100398188394784,60.68847434539125,21.16316028454669,4.274822158316937,7.4712426214620855,3.8935531910301515,0.2460449355750761,34.131180799861866,46.552133468586106,14.866294002115124,7.336024000172663,1.5906589256037813,88.52437787322211,2.859732803833121,19.57323453232474,57.829465342458704,3.5678141992143946,13.537110413557693,3.4082917374225974,20.009453916164595,6.900557620817844,1.8082617613126521,7.718561722856044,40.79204589155236,7.728977054223818,1.6968978336110756,4.522657351621587,0.8107934880143571,Greater Melbourne,Yes
2016,Bruce,VIC,10.012251364145662,-2.109139500852848,-3.030869720013344,-4.51298716513024,2016,71.17981000197517,20.32214303456446,20.6673417786015,24.495099069491946,18.38724675341218,6.634567004859532,38.19138701106729,14.4562883484444,12.20523864440041,1.5737596289240454,5.022650669962855,9.13417734423284,8.435224181103417,19.364252081886473,6.0223384666356585,6.091787778195465,8.142135343328087,22.96414758934431,8.022351209628605,54.102179043182446,18.678935915903033,5.35413282662662,14.262619142480615,10.339137362012064,0.6069572474488828,36.00015173931186,28.712871287128714,27.908652934258942,14.874246045294184,2.5587041462766966,73.99188194681537,3.780205606767573,30.33907592788121,38.42504109808743,3.130137260929418,14.458507638229909,11.718635142540196,17.12745312414585,3.2806264691412017,4.473022467610561,7.153692669327065,41.999672005685234,7.364839009457169,3.6318537145356147,4.455939430383206,2.043814573880719,Greater Melbourne,Yes
2022,Bass,TAS,-3.839779896956326,3.8177556827313524,-0.6641925766524519,4.593350746318,2021,87.64298622317003,23.208489047709975,19.316766232939614,20.76434163506915,18.764832646826154,3.1061040035643814,86.36137347657612,1.1319330786909807,3.4286764250361275,0.13011770920643911,0.47406522025562775,19.438573108781785,1.0417643375052328,11.153973322903125,0.1828927241293305,1.8507651785027772,7.431404055537899,48.932734058735896,1.1005450195081745,55.556374214635824,23.985818776942995,6.823271588829659,6.933614991909302,6.0064212039337646,0.4785321778969284,35.51972218995658,31.649399324681937,23.08948568446248,7.692715926963298,5.304371972305143,85.49163094837257,3.496341028109584,22.74675108046512,51.264046792827564,3.174196713189604,13.284794079371547,8.426449460827955,17.05146394208357,10.100858390461049,3.5812392559868296,12.981162868095456,35.57775666704592,5.768350288775132,1.8789398456824904,5.221666066094614,1.3568003167417693,Non Metropolitan,No
2007,Tangney,WA,-11.802895789719159,9.474653742093935,1.0378367969787838,2.090332989578907,2006,83.23044586408923,29.041442843308474,17.563753445293294,25.545246116026718,10.515076520688314,12.883948450963027,77.39877361535216,7.66614532906333,1.1320473672451032,0.4344480027804672,0.9549580861117317,27.824769913262266,3.7914652718003046,24.91226908561213,0.06786731113023903,1.367278024233596,9.386380189366351,20.046513937628287,1.373899225319473,60.661753586514905,17.637688903227108,5.83923944712726,9.018963414019417,3.3240676395645123,0.04169562195969423,41.61223071577484,35.81885568681955,17.81792911744267,10.435487607134585,1.3759555246699096,86.1987491313412,3.3750289552930277,23.842019360648358,13.573559207564161,2.5776677172444846,13.04592525889239,5.114531742458352,18.24166282737357,4.513236701279371,2.247758443491512,8.353120459297587,43.232802920225396,7.010844526349364,2.315979728532445,3.920508913066591,0.7371442747280008,Greater Perth,Yes
2010,Pearce,WA,-8.617094892960779,9.128093733140723,1.351936138252336,-1.0423042021336437,2011,81.8211939891243,22.98531704781705,23.54274948024948,19.837577962577964,23.046387733887734,8.172427234927236,85.61527268947957,0.43781016966768,0.49042533842596203,0.4319640398056487,0.81910775066905706,27.072505197505198,1.1298076923076923,20.830951143451145,0.6009615384615384,0.39825883575883575,9.580951143451143,27.41943866943867,1.0109147609147608,52.445970920076626,22.321330621682517,7.134960886406022,8.523134825866448,1.0710259301014655,0.6317303580453291,27.710609182443726,48.938692998483845,17.04505695292151,3.411343933444777,2.715468646736384,94.88589977840843,3.590172219414532,16.02073216286888,56.218092391981074,2.196177312912464,19.06207197111194,2.674013198854439,23.643014839848245,8.599538442851937,1.6004458384835776,6.563971392030637,40.189052664670875,5.935224812626375,1.696901279642186,4.2211758990004355,0.8473789126971085,Greater Perth,Yes
2016,Cowan,WA,7.3830389411275945,0.2896770943193019,-2.869893898668301,-2.3213627761416307,2016,82.42734834156956,19.48853854600171,22.83140614621318,22.563000718458973,22.491154821130827,4.29787580148843,68.56269361912703,2.4132484629098623,2.6430493699116724,1.5652221069828294,5.641307221442662,15.242782285671677,4.2591123855232205,23.52713887702601,2.179380283217755,2.1800581619994714,10.657610206142937,28.199757319396145,4.206915719331069,49.91997934950955,24.567200137669936,7.139907072792979,11.473068318705902,0.30971817697009474,0.45944948106822003,26.60294539935185,50.7568609755097,16.31250769167658,10.239159863806046,2.7710546826927023,88.81117446773598,2.565943307215818,21.66656149428914,56.17309269893355,2.4121284785763866,13.958477945352433,3.9565848425569508,21.529965611459964,6.8618474648364565,2.213266622930019,6.3161006135146245,39.251238203721464,7.499873836593156,2.6386175374344853,4.536115176376443,1.159982409216417,Greater Perth,Yes
2022,McPherson,QLD,-10.558654672445385,7.079530738128426,3.654618088439216,-5.084270217551145,2021,84.69665242983291,20.550339836682802,21.333308884651117,21.15544472152951,19.159209818590778,2.6966896484279497,83.80246111553944,2.185886523319801,0.6359947828137107,0.13989397573310272,1.6675648127963794,17.014460377622257,1.3348843198485472,19.24134984645238,0.7591279844156984,0.5782315735628346,7.780287303724047,44.53036896928773,0.3781988974016175,47.68594370067929,26.808771544495478,10.873441873608167,7.39710082764791,20.259079441128446,0.2964712626983479,31.086497996803804,36.55248050111602,27.650437911502884,24.079552815201197,1.8219630437878467,55.32504160901473,2.1750281675610874,25.602406156224333,50.29783954457129,3.411177132606619,12.154985979228615,7.348658107680132,17.986376552924618,10.689603282774037,4.646534435732532,9.338675043772202,35.857720849591345,6.000979241744274,2.21482536505539,5.027286403188895,1.5101792631889166,Non Metropolitan,No
2007,Swan,WA,-2.854052475005652,2.546323423767504,2.3120118262986313,-1.5595507040547671,2006,76.56399254607808,23.29243369795867,25.055790025917894,24.14200812772588,10.123638527613126,12.062390866879126,72.62697996351308,4.7652231104708065,0.5739251626643281,0.8769388570041576,1.312276361016936,22.560388364718317,3.2768273108092236,24.809145362721686,0.07516736483576714,0.7469756880554359,8.847042242493051,21.24730846024351,3.4647457228986416,61.81645837551306,15.39176529053395,4.006000257679777,7.8104581178332815,16.200115673799885,0.26219394640447274,27.00597647966069,28.9955658376711,31.983805668016196,21.359167148640832,7.663389242336611,62.17852323115481,4.351262772315404,21.01736295988468,11.493058711998234,2.26744412555355,19.425217199329897,4.233601288261497,15.303668069753458,8.452124084751159,7.155742633794348,16.047363022178203,32.763255632980794,5.048459552191291,3.522160517845142,4.770789855328782,1.1796540624668388,Greater Perth,Yes
2010,Forrest,WA,-9.640315110457298,10.989603844148832,1.7875437266922578,-2.3920410056500057,2011,85.95318685101256,24.940830524277416,22.436347988237827,18.843864304669008,21.337588754213584,9.038227067345622,89.12440016354286,0.3471699195914298,0.23168571080171863,0.10329022401067332,0.5437082625006276,28.690076598674583,0.9280775740884184,21.048856757609663,0.3270505206988553,0.19293111857015807,8.460997790974552,28.804113951286684,0.37940729265283873,56.88671333770874,20.185225698242544,7.199372857872092,7.455516663020491,3.0671423162006497,1.6083065946549215,30.63156426251071,36.96713633736572,24.624828108495926,6.594654921577615,4.330669430217032,88.7298961675668,3.4458018614106063,16.892352820792688,60.78688860085954,2.210246265093117,14.637765195443073,1.9697796575482638,21.90597508060985,9.405676525616018,2.4409856295529635,9.17001711715298,39.0486047529955,5.022889216193623,1.3056805063492696,4.379602722821544,0.7475817045499781,Non Metropolitan,No
