Year,Australian_Citizens,Age - Baby Boomers,Age - Gen X,Age - Gen Y,Age - Gen Z,Age - Greatest Gen,Age - Silent Gen,Age - Gen Alpha,Language - Arabic,Language - Chinese,Language - East Asian,Language - English Only,Language - European,Language - Greek,Language - Indigenous,Language - Indonesian,Language - Italian,Language - Pacific,Language - Philippinnes,Language - South Asian,Language - Western Asian,Religion - Anglican-Uniting-Presbyterian,Religion - Buddhism,Religion - Catholic,Religion - Christian Orthodox,Religion - Hinduism,Religion - Islam,Religion - Judaism,Religion - No Religion-Secular,Religion - Not Stated,Religion - Other,Religion - Other Christianity,Income - 1 to 999,Income - 1000 to 1999,Income - 2000 or more,Income - Negative,Income - Not Stated,Household - Flat,Household - Other,Household - Owned outright,Household - Owned with a mortgage,Household - Rented,Household - Social or community,Household - Standalone,Household - Tenure other or not stated,Household - Semi detached,Education - Bachelor,Education - Diploma or Certificate,Education - Graduate Diploma or Certificate,Education - Inadequately Described,Education - Not Stated,Education - Postgraduate,Relationship - Child under 15,Relationship - De Facto,Relationship - Group Household,Relationship - Living Alone,Relationship - Married,Relationship - Non-dependent Child,Relationship - Other Relationship,Relationship - Single Parent,Relationship - Unrelated in family household,Relationship - Visitor
2006,86.124792453952,25.738605581626437,22.395692380557932,21.84510655033004,12.951834137028078,0.4996901541496985,12.916564503506219,NA,1.2283707832702175,2.5226273582094003,1.5585467231660632,78.4751058051419,3.077119839007306,1.2721449115944812,0.2806934593134543,0.2118197414404116,1.597944952809693,0.14370814663631432,0.46543511952941374,0.6640211743024417,0.492094285424578,27.459551972737202,2.109409541575565,25.837926258814885,0.16497687386312476,0.7462292586513556,1.715376912625397,0.4476991966922861,18.65296561665324,11.187816331433579,1.220077847563327,10.45797018939004,66.0164570974594,14.46767141749817,3.4683973010758153,7.158400995670203,8.889073188296416,13.057901237609348,1.117692147473942,34.024332819715745,34.099639758480286,23.178131984788557,4.963301165045935,76.60198015256233,3.7345942719694696,NA,16.70200874182091,10.259944767056954,2.0746455910405066,2.130818847296045,16.78060764967531,3.7491215255699717,20.20687667334905,6.81398178654943,3.1888808393717047,9.707268125518443,39.25042844808665,6.355906810094405,2.147117479349589,4.513754119788038,0.857866647907813,1.9896812780481552
2011,84.94771937648643,17.26708222731448,21.84897692644403,22.38959628581778,20.95758642838033,NA,1.9696001453208698,11.672815914797532,1.3366825230000872,3.031005153475349,2.0784135197607054,76.77241558129997,3.0772147997809562,1.1747017751242699,0.2875753603790869,0.2599875118384258,1.3957727121040706,0.17006603794643324,0.6369064925252076,2.016009992766112,0.7581439025984911,24.862819177340533,2.4610693246815596,25.31082351087001,2.6223464110465855,1.2827605149440173,2.2163483089229783,0.4533075386925437,22.292409692078106,8.523080196624953,1.590118069012594,8.384917255786121,57.820749329790445,19.90468964808441,6.232420531883383,8.1526235896441,7.88951690059766,13.61089025853282,0.9477818597920449,32.06203859887402,34.91374722466699,24.887833378219742,4.717222076896214,75.57109040466062,3.419158721343036,9.87023747701451,24.139221843110644,46.685568733168125,3.067548257835652,2.5263134831319003,17.070676462338454,6.510671220415224,19.66188125898461,7.4415307256036956,3.6105785030656046,9.519831164929727,38.54466447709315,6.180408962331674,2.286173831168962,4.544640282910641,1.0855728073518056,2.025698254188114
2016,82.42191020638707,18.673172806105743,21.30492921584781,22.35740570958179,20.049126587773603,NA,2.1685480656636202,11.408159788446282,1.3538400086909677,3.945183700530566,2.1406389188600805,72.7568356262526,2.590744196640249,0.9904774041481043,0.2661929969454435,0.2670237260073992,1.1248028677794926,0.1812102703290856,0.7187733334772122,2.938160228880416,0.47236796021886884,19.210502505012094,2.3825266675804686,22.633491630040723,2.1255187935107727,1.8637235220634145,2.562782027699162,0.36154699051054767,29.855122136227486,9.528689292386272,0.986846176083473,7.798841612554733,51.05569836711135,22.278135858236254,8.16294273461662,9.48175946621409,8.939800975981246,13.078252586115433,1.0241621838171293,30.961300697681747,34.45663783810274,26.26315931142176,4.056671538686326,72.91416985214835,3.379352574612332,12.690792438081514,25.221466972271283,46.074058303193425,3.268506252278015,1.2750143690245885,15.977172526424988,8.032836725824994,19.100641954302368,7.807919489476304,3.8675343769392754,9.487211036947425,37.9376280429079,6.229464993673524,2.3936790892729243,4.500134888789576,1.2769002983033566,2.193257474436217
2021,83.86114584058849,19.88241261819765,20.23711643471659,22.859771731846468,19.486364529870617,NA,2.4909125574366695,10.743755818657378,1.423535840921515,4.00738423717475,2.422246271893624,72.02496078395205,2.5386685448114594,0.87454270280361035,0.29262054017475025,0.2672950694442146,0.8603959145620709,0.1822921470622691,0.818546805963457,4.421421193678323,0.5112158133737091,14.08165152499145,2.398170322442712,19.98532817631858,2.0802164281224123,2.6735340671531374,3.1847104634517787,0.3638235445757455,38.65627033428361,7.209059809735355,1.3310949164744295,7.330559001921824,45.54207841020921,26.034583636516466,12.485804905328987,8.744385677003,7.1025360230742125,14.164077916832746,0.6920811047335603,30.95968342661385,34.9504461907507,26.58306908552379,3.5778925202604954,72.34073406893252,3.088300475177056,12.570774406098755,27.500926840735467,44.994712868593275,3.755568578927882,0.9371105657097085,12.300715889571403,10.342764359050058,18.507355632870127,9.218680046445433,3.603990124179051,10.072984476661846,37.18639017655983,6.3984078278678576,2.467713744049229,4.538719485103571,1.2296179390622557,1.6354798263780677
