Year,StateAb,DivisionNm,PartyAb,OrdinaryVotes,Percentage
2007,NSW,Greenway,COAL,33327,50.126342387871134
2007,NSW,Greenway,GRN,3733,5.614715880034894
2007,NSW,Greenway,Other,2555,3.842914297746894
2007,NSW,Greenway,Other Right,1007,1.5146045784074842
2007,NSW,Hughes,ALP,29481,42.49881070795312
2007,NSW,Hughes,COAL,33340,48.061814355115395
2007,NSW,Hughes,GRN,3734,5.38280788248353
2007,NSW,Hughes,Other,2011,2.8989894621516816
2007,NSW,Hughes,Other Right,803,1.1575775922962708
2007,NSW,Hume,ALP,25831,38.662795048719524
2007,NSW,Hume,COAL,32423,48.52943377587523
2007,NSW,Hume,GRN,5025,7.521216566134319
2007,NSW,Hume,Other,1955,2.9261648530930535
2007,NSW,Hume,Other Right,1577,2.360389756177875
2007,NSW,Hunter,ALP,39054,60.17750932232118
2007,NSW,Hunter,COAL,17334,26.709605843015193
2007,NSW,Hunter,GRN,4195,6.463989645289531
2007,NSW,Hunter,Other,4315,6.648895189374095
2007,NSW,Kingsford Smith,ALP,36711,53.25297010313765
2007,NSW,Kingsford Smith,COAL,23203,33.65826769369134
2007,NSW,Kingsford Smith,GRN,7061,10.242685350392387
2007,NSW,Kingsford Smith,Other,1067,1.5477900111696186
2007,NSW,Kingsford Smith,Other Left,895,1.2982868416090054
2007,NSW,Lindsay,ALP,35748,52.0054117749749
2007,NSW,Lindsay,COAL,26007,37.834417143106535
2007,NSW,Lindsay,GRN,2220,3.2296076463143195
2007,NSW,Lindsay,Other,3516,5.115000218216733
2007,NSW,Lindsay,Other Right,1248,1.8155632173875094
2007,NSW,Lowe,ALP,31474,49.41438754042767
2007,NSW,Lowe,COAL,25615,40.215718906019404
2007,NSW,Lowe,GRN,5396,8.471755581373442
2007,NSW,Lowe,Other,1209,1.898137972179483
2007,NSW,Lyne,ALP,20672,32.510812298498074
2007,NSW,Lyne,COAL,32924,51.77950774553747
2007,NSW,Lyne,GRN,4469,7.028387198238578
2007,NSW,Lyne,Other,5520,8.68129275772588
2007,NSW,Macarthur,ALP,28248,44.581926075565796
2007,NSW,Macarthur,COAL,29431,46.448975726776304
2007,NSW,Macarthur,GRN,2677,4.224929768631041
2007,NSW,Macarthur,Other,1876,2.960765127363404
2007,NSW,Macarthur,Other Right,1130,1.7834033016634576
2007,NSW,Mackellar,ALP,16878,24.64877179659433
2007,NSW,Mackellar,COAL,38390,56.065075795192335
2007,NSW,Mackellar,GRN,8067,11.781113999474252
2007,NSW,Mackellar,Other,5139,7.505038408739083
2007,NSW,Macquarie,ALP,30971,44.67379231756747
2007,NSW,Macquarie,COAL,25901,37.36062428779552
2007,NSW,Macquarie,GRN,7134,10.290363062010472
2007,NSW,Macquarie,Other,4701,6.780907871392098
2007,NSW,Macquarie,Other Right,620,0.8943124612344396
2007,NSW,Mitchell,ALP,20681,31.45925554085094
2007,NSW,Mitchell,COAL,37291,56.72584006449748
2007,NSW,Mitchell,GRN,3415,5.1947854393891
2007,NSW,Mitchell,Other,3587,5.456426170157745
2007,NSW,Mitchell,Other Right,765,1.1636927851047323
2007,NSW,New England,ALP,6757,9.989355725732533
2007,NSW,New England,COAL,15614,23.08329144614293
2007,NSW,New England,GRN,2202,3.2553738801336447
2007,NSW,New England,Other,42228,62.42866857869371
2007,NSW,New England,Other Right,841,1.2433103692971823
2007,NSW,Newcastle,ALP,35626,51.23389323515877
2007,NSW,Newcastle,COAL,17406,25.031638288080995
2007,NSW,Newcastle,GRN,6948,9.991946617579384
2007,NSW,Newcastle,Other,7474,10.748389323515877
2007,NSW,Newcastle,Other Left,497,0.7147376898297285
2007,NSW,Newcastle,Other Right,1585,2.2793948458352506
2007,NSW,North Sydney,ALP,23902,35.94015487557326
2007,NSW,North Sydney,COAL,34430,51.77054356815277
2007,NSW,North Sydney,GRN,6072,9.130140590933012
2007,NSW,North Sydney,Other,1854,2.7877603187730244
2007,NSW,North Sydney,Other Right,247,0.3714006465679272
2007,NSW,Page,ALP,29606,42.356610441077585
2007,NSW,Page,COAL,29798,42.6313003419317
2007,NSW,Page,GRN,5561,7.955992388800664
2007,NSW,Page,Other,3975,5.686939353620327
2007,NSW,Page,Other Right,957,1.369157474569724
2007,NSW,Parkes,ALP,16712,25.906061075802203
2007,NSW,Parkes,COAL,29619,45.91381181212215
2007,NSW,Parkes,GRN,1889,2.9282281816772593
2007,NSW,Parkes,Other,16290,25.251898930398387
2007,NSW,Parramatta,ALP,35387,50.99946675890296
2007,NSW,Parramatta,COAL,26228,37.799587819043914
2007,NSW,Parramatta,GRN,3428,4.940406704425901
2007,NSW,Parramatta,Other,2415,3.4804790522720395
2007,NSW,Parramatta,Other Left,955,1.3763385072131666
2007,NSW,Parramatta,Other Right,857,1.2351016761064753
2007,NSW,Paterson,ALP,28043,42.796752434148274
2007,NSW,Paterson,COAL,31183,47.58874339956658
2007,NSW,Paterson,GRN,3431,5.236089491194335
2007,NSW,Paterson,Other,1825,2.7851539846778377
2007,NSW,Paterson,Other Right,1044,1.5932606904129658
2007,NSW,Prospect,ALP,39132,58.57645385824414
2007,NSW,Prospect,COAL,20825,31.172816405957636
2007,NSW,Prospect,GRN,2922,4.373924107476985
2007,NSW,Prospect,Other,1777,2.6599805403787142
2007,NSW,Prospect,Other Right,2149,3.216825087942519
2007,NSW,Reid,ALP,39522,60.62772289378413
2007,NSW,Reid,COAL,17574,26.95894949990796
2007,NSW,Reid,GRN,3326,5.102166042829968
2007,NSW,Reid,Other,3811,5.846168006381543
2007,NSW,Reid,Other Right,955,1.4649935570963981
2007,NSW,Richmond,ALP,27616,43.871828681271545
2007,NSW,Richmond,COAL,22813,36.24160007625463
2007,NSW,Richmond,GRN,9965,15.830778273785883
2007,NSW,Richmond,Other,1663,2.64190509476226
2007,NSW,Richmond,Other Right,890,1.4138878739256835
2007,NSW,Riverina,ALP,20470,29.588193631383433
2007,NSW,Riverina,COAL,43057,62.23638755185522
2007,NSW,Riverina,GRN,3254,4.703467614876487
2007,NSW,Riverina,Other,904,1.3066793865545003
2007,NSW,Riverina,Other Right,1498,2.165271815330356
2007,NSW,Robertson,ALP,29547,43.56550971661113
2007,NSW,Robertson,COAL,30494,44.961811801480344
2007,NSW,Robertson,GRN,4914,7.245436583999292
2007,NSW,Robertson,Other,1625,2.3959777063489724
2007,NSW,Robertson,Other Right,1242,1.8312641915602608
2007,NSW,Shortland,ALP,39664,57.03111520101225
2007,NSW,Shortland,COAL,21409,30.783056306435842
