DivisionNm,Year,cluster,Metro_Area
Kingsford Smith,2010,0,Greater Sydney
Hume,2007,0,Greater Sydney
Hunter,2010,1,Non Metropolitan
Kingsford Smith,2016,0,Greater Sydney
Hughes,2007,2,Greater Sydney
Hume,2010,0,Greater Sydney
Hunter,2016,1,Non Metropolitan
Hume,2016,0,Greater Sydney
Grayndler,2007,0,Greater Sydney
Greenway,2010,0,Greater Sydney
Hughes,2016,0,Greater Sydney
Gilmore,2007,1,Non Metropolitan
Grayndler,2010,0,Greater Sydney
Greenway,2016,0,Greater Sydney
Gilmore,2010,1,Non Metropolitan
Grayndler,2016,0,Greater Sydney
Farrer,2007,1,Non Metropolitan
Eden-Monaro,2007,1,Non Metropolitan
Farrer,2010,1,Non Metropolitan
Farrer,2016,1,Non Metropolitan
Dobell,2007,2,Greater Sydney
Eden-Monaro,2010,1,Non Metropolitan
Eden-Monaro,2016,1,Non Metropolitan
Cunningham,2007,1,Non Metropolitan
Dobell,2010,2,Greater Sydney
Dobell,2016,2,Greater Sydney
Cunningham,2010,1,Non Metropolitan
Cunningham,2016,1,Non Metropolitan
Cowper,2010,1,Non Metropolitan
Cowper,2016,1,Non Metropolitan
Charlton,2007,1,Non Metropolitan
Calare,2007,1,Non Metropolitan
Charlton,2010,1,Non Metropolitan
Calare,2016,1,Non Metropolitan
Bradfield,2007,0,Greater Sydney
Calare,2010,1,Non Metropolitan
Bradfield,2016,0,Greater Sydney
Bradfield,2010,0,Greater Sydney
Berowra,2007,0,Greater Sydney
Berowra,2016,0,Greater Sydney
Berowra,2010,0,Greater Sydney
Barton,2007,0,Greater Sydney
Barton,2010,0,Greater Sydney
Barton,2016,0,Greater Sydney
Banks,2007,2,Greater Sydney
Banks,2010,0,Greater Sydney
Banks,2016,2,Greater Sydney
Fraser (I),2007,0,Australian Capital Territory
Fraser (I),2010,0,Australian Capital Territory
Fenner,2016,0,Australian Capital Territory
Canberra,2007,0,Australian Capital Territory
Canberra,2010,0,Australian Capital Territory
Canberra,2016,2,Australian Capital Territory
Petrie,2010,2,Greater Brisbane
Brisbane,2016,0,Greater Brisbane
Forrest,2007,1,Non Metropolitan
Forrest,2016,1,Non Metropolitan
Petrie,2016,2,Greater Brisbane
Brisbane,2007,0,Greater Brisbane
Brisbane,2010,0,Greater Brisbane
